Artist ID,Album ID,Album URL,Album date,Video link
Group-momoland,2026-white-spring,/musicalbum/2026-White-Spring,260123,Y0Ul1XB0-Lc
Group-whib,2026-rock-the-nation,/musicalbum/2026-ROCK-THE-NATION,260129,RRad4YeoaJY
Group-young-posse,2026-visa-pilot3,/musicalbum/2026-Visa-Pilot3,260127,8RAQSwpjFoE
Idol-coiblen,2026-c-o-d-e,/musicalbum/2026-C-O-D-E,260206,
Idol-unknown,2026-sealook-2-ost,/musicalbum/2026-Sealook-2-OST,260109,0iul7DdRFyA
Group-misamo,2026-confetti,/musicalbum/2026-Confetti,260116,gOjG-70-D5o
Idol-unknown,2026-119,/musicalbum/2026-119,260118,gJrl2mpEsxI
Idol-lola2,2026-tatz,/musicalbum/2026-Tatz,260119,e589HW1MGbo
Group-aoen,2026-fell-in-a-second,/musicalbum/2026-Fell-in-a-Second,260318,
Group-forestella,2026-nella-notte,/musicalbum/2026-Nella-Notte,260119,HUNkE8Sopwo
Group-rescene,2026-pinball-japanese-ver,/musicalbum/2026-Pinball-Japanese-Ver,260121,ou2Y2vGKCyY
Idol-bora2,2026-muffler,/musicalbum/2026-Muffler,260115,RV5_Y_f7u0k
Idol-dia2,2026-dance-sped-up,/musicalbum/2026-Dance-Sped-Up,260110,
Idol-james-lee,2026-dead-stars,/musicalbum/2026-Dead-Stars,260119,K7t12aTmhkc
Idol-unknown,2026-suji,/musicalbum/2026-SUJI,260114,Vj3zqFDToIM
Group-billlie,2026-cloud-palace-false-awakening,/musicalbum/2026-Cloud-Palace-False-Awakening,260127,SeZ6L9jZmHc
Group-nwh-i,2026-siren-call,/musicalbum/2026-Siren-Call,260126,wlR8b_uOfh4
Group-1verse,2026-wabif,/musicalbum/2026-WABIF,260121,F192Gkz5Tas
Group-8turn,2026-bruise,/musicalbum/2026-Bruise,260128,4sl47VgK_4A
Group-kickflip,2026-from-kickflip-to-weflip,/musicalbum/2026-From-KickFlip-To-WeFlip,260120,OgOm9Ei0BUc
Group-pow,2026-come-true,/musicalbum/2026-Come-True,260128,kI9YD61ehIw
Group-txt,2026-sss-sending-secret-signals-feat-hyde,/musicalbum/2026-SSS-Sending-Secret-Signals-feat-HYDE,260126,XQ7vBKHMw7M
Idol-maddyxp,2026-grapefruit,/musicalbum/2026-grapefruit,260117,3WT8A28JPnY
Idol-yena2,2026-nemonemo-japanese-ver,/musicalbum/2026-Nemonemo-Japanese-Ver,260121,HRDApL3_m18
Group-i-dle,2026-mono,/musicalbum/2026-Mono,260127,w7j0aTM5ujk
Group-skinz,2026-why-u-mad,/musicalbum/2026-WHY-U-MAD,260204,CO7xkEXsn5s
Idol-choi-hari,2026-jumper,/musicalbum/2026-JUMPER,260121,
Idol-hebi,2026-become,/musicalbum/2026-Become,260122,XPqXU3SfxdU
Idol-kang-daniel,2026-obsession,/musicalbum/2026-Obsession,260122,JBrmXv5nwZs
Idol-sya,2026-23-24,/musicalbum/2026-23-24,260203,f9m2SQ81v7Q
Idol-yeoeun,2026-i-love-you-i-love-you,/musicalbum/2026-I-Love-You-I-Love-You,260122,XE4A3zRxk8M
Group-bolbbalgan4,2026-loosing-heart-veiled-musician-x-bol4-with-yeouido-dong-three-star,/musicalbum/2026-Loosing-Heart-Veiled-Musician-X-BOL4-with-Yeouido-dong-Three-Star,260113,6PH4Kfjeuo8
Group-girlset,2026-little-miss-misdemeanor,/musicalbum/2026-Little-Miss-Misdemeanor,260123,vuAp-MShrVw
Group-i1it,2026-red-line,/musicalbum/2026-RED-line,260203,
Group-madein,2026-girl-meets-boy,/musicalbum/2026-Girl-Meets-Boy,260209,
Group-zerobaseone,2026-roses,/musicalbum/2026-Roses,260123,JUeZL0TyT3I
Idol-gray,2026-project-y-original-motion-picture-soundtrack,/musicalbum/2026-Project-Y-Original-Motion-Picture-Soundtrack,260121,BN3sEtwD7qU
Idol-hyun-o,2026-starlight-glaze,/musicalbum/2026-Starlight-Glaze,260124,8k0qIUhaCD0
Idol-yoseop,2026-unloved-echo,/musicalbum/2026-Unloved-Echo,260209,pOAKFUpMdd0
Idol-junho,2026-always,/musicalbum/2026-Always,260126,7ehdQWIV5Ik
Group-ive,2026-revive,/musicalbum/2026-REVIVE,260226,4qWUNxnZ35U
Group-nct-jnjm,2026-both-sides,/musicalbum/2026-BOTH-SIDES,260223,
Idol-youngjae3,2026-shinbi-s-haunted-house-10th-anniversary-movie-summon-once-more-ost,/musicalbum/2026-Shinbi-s-Haunted-House-10th-Anniversary-Movie-Summon-Once-More-OST,260116,OaBsMBK1Bgo
Group-ab6ix,2026-a-minute-a-second,/musicalbum/2026-A-Minute-A-Second,260127,1hRzRN2bs3k
Group-ive,2026-revive,/musicalbum/2026-REVIVE,260223,4qWUNxnZ35U
Idol-hyojin4,2026-painkiller,/musicalbum/2026-Painkiller,260213,
Idol-juntae,2026-tired-of-falling-in-love,/musicalbum/2026-Tired-of-falling-in-love,260129,IWeJUiyqFes
